gender,SeniorCitizen,Partner,Dependents,tenure,PaperlessBilling,MonthlyCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_MonthlyCharges_interaction,tenure_FiberOptic_interaction,MonthlyCharges_FiberOptic_interaction,tenure_squared,Is_Electronic_Check
0,0,1,1,-0.9516816739185228,1,0.0278619390838584,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,-0.026515696825942275,-0.0,0.0,0.9056980084723615,0
1,0,0,0,-0.9516816739185228,0,-0.1615829189350795,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.15377550276877744,-0.0,-0.0,0.9056980084723615,0
1,0,0,0,-1.1552834925186746,1,0.30372024111143525,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,-0.35088298089983283,-1.1552834925186746,0.30372024111143525,1.3346799480861464,1
1,1,1,0,-0.7888002190384014,1,1.1047063951915064,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,-0.871392646500183,-0.7888002190384014,1.1047063951915064,0.6222057855550299,1
0,1,1,0,-1.1960038562387048,1,0.6360796411446599,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,-0.7607537036839447,-1.1960038562387048,0.6360796411446599,1.4304252241378523,0
0,0,0,1,-0.9516816739185228,1,0.15415851109648415,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,-0.1467098298890892,-0.0,0.0,0.9056980084723615,0
0,1,1,0,1.5729808767233588,1,1.4935668932303794,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,2.3493521611585053,1.5729808767233588,1.4935668932303794,2.4742688385373866,0
1,0,1,0,1.247217966963116,1,0.6610065961471517,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0.8244193029958601,1.247217966963116,0.6610065961471517,1.5555526571156084,0
0,1,0,0,-1.0331224013585834,1,-0.5504434169739522,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.5686754247561534,-0.0,-0.0,1.0673418961889258,1
0,0,1,1,1.3286586944031769,1,0.8537750481664219,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1.1343756408108077,0.0,0.0,1.7653339262131544,0
1,0,0,0,0.880734693482843,0,-0.6501512369839195,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,-0.5726107504225235,0.0,-0.0,0.7756936003043173,0
0,0,1,1,1.6137012404433893,1,1.7295420672539685,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,2.790964179326753,1.6137012404433893,1.7295420672539685,2.6040316934085332,0
0,0,1,0,-1.1145631287986442,1,0.13920233809498894,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-0.15514979348323757,-1.1145631287986442,0.13920233809498894,1.242250968077423,1
0,0,0,0,1.6137012404433893,1,1.2143849972024705,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1.9596545763614683,1.6137012404433893,1.2143849972024705,2.6040316934085332,0
0,0,0,0,0.9621754209229036,0,-0.6551366279844181,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,-0.6303563607929192,0.0,-0.0,0.9257815406281668,0
0,0,1,1,1.5729808767233588,1,1.0299255301840309,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1.620053163428647,1.5729808767233588,1.0299255301840309,2.4742688385373866,0
0,0,1,1,0.06632741908223598,0,-0.11671439993059413,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,-0.007741364917128211,0.0,-0.0,0.004399326522110562,0
