gender,SeniorCitizen,Partner,Dependents,tenure,PaperlessBilling,MonthlyCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,1,1,9,1,65.6,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
1,0,0,0,9,0,59.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,4,1,73.9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,1,0,13,1,98.0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,1,1,0,3,1,83.9,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,0,1,9,1,69.4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0,1,1,0,71,1,109.7,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
1,0,1,0,63,1,84.65,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
0,1,0,0,7,1,48.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,65,1,90.45,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
1,0,0,0,54,0,45.2,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
0,0,1,1,72,1,116.8,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,1,0,5,1,68.95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,72,1,101.3,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,0,0,56,0,45.05,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
0,0,1,1,71,1,95.75,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0
0,0,1,1,34,0,61.25,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1
0,1,0,0,1,1,72.1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,0,0,45,0,62.7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
1,1,0,0,1,1,25.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,0,50,0,25.2,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
0,0,1,0,13,0,94.1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,1,1,23,1,83.75,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,3,0,19.85,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,1,1,4,0,20.35,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,1,1,1,0,30.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,55,1,103.7,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0
1,0,1,1,54,0,20.4,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
1,0,0,0,26,1,19.6,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
0,0,1,1,69,0,19.7,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
1,0,1,1,37,0,91.2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
0,0,1,0,49,0,20.45,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
1,0,1,0,66,0,115.8,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0
0,0,0,0,67,0,20.55,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
1,0,1,1,20,1,39.4,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
0,0,0,1,43,1,25.1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
